Applicant Id,Age,Gender,Marital Status,Annual Income,Loan Amount,Credit Score,No Of Dependent,Existing Loan,Employment Status,Loan Approved,Age Category,Income Category,Loan Approval Status,Loan to Value Ratio,LTV Category,Credit Band,Employment Type,Dependancy,Average Monthly EMI,Loan to Credit Ratio,LTC Category,Credit Age Ratio,Credit Age Category
1,59,Male,Divorced,"1,00,073.00","7,169.00",793,1,1,Un-Employed,1,Middle-Aged,High Income,Approved,7%,Low Exposure,Excellent, Other Income,Low Dependency,143.38,9.04,Conservative-Low Risk,13.44,Moderate
2,49,Male,Married,"1,12,197.00","23,556.00",789,0,2,Employed,1,Middle-Aged,High Income,Approved,21%,Low Exposure,Excellent,Employed,No DePendency,942.24,29.86,Conservative-Low Risk,16.10,Moderate
3,35,Male,Divorced,"84,429.00","27,052.00",372,1,4,Un-Employed,0,Adult,Average Income,Rejected,32%,Low Exposure,Poor, Other Income,Low Dependency,2164.16,72.72,Aggressive-High Risk,10.63,Moderate
4,63,Female,Single,"1,24,195.00","11,313.00",808,3,4,Self-Employed,1,Senior,High Income,Approved,9%,Low Exposure,Excellent,Employed,High Dependency,905.04,14.00,Conservative-Low Risk,12.83,Moderate
5,28,Female,Married,"81,627.00","13,315.00",689,0,1,Un-Employed,1,Adult,Average Income,Approved,16%,Low Exposure,Good, Other Income,No DePendency,266.30,19.33,Conservative-Low Risk,24.61,Long/Mature
6,41,Male,Married,"53,848.00","13,036.00",594,3,4,Un-Employed,0,Middle-Aged,Average Income,Rejected,24%,Low Exposure,Poor, Other Income,High Dependency,1042.88,21.95,Conservative-Low Risk,14.49,Moderate
7,59,Male,Divorced,"57,804.00","36,778.00",668,1,1,Employed,1,Middle-Aged,Average Income,Approved,64%,High Exposure,Good,Employed,Low Dependency,735.56,55.06,Aggressive-High Risk,11.32,Moderate
8,39,Male,Single,"35,379.00","32,734.00",848,0,4,Un-Employed,0,Adult,Low Income,Rejected,93%,High Exposure,Excellent, Other Income,No DePendency,2618.72,38.60,Conservative-Low Risk,21.74,Long/Mature
9,43,Female,Married,"79,664.00","28,173.00",486,1,0,Employed,1,Middle-Aged,Average Income,Approved,35%,Low Exposure,Poor,Employed,Low Dependency,563.46,57.97,Aggressive-High Risk,11.30,Moderate
10,31,Female,Single,"47,766.00","35,403.00",744,0,1,Self-Employed,1,Adult,Low Income,Approved,74%,High Exposure,Good,Employed,No DePendency,708.06,47.58,Conservative-Low Risk,24.00,Long/Mature
